Ref,Val,Package,MidX,MidY,Rotation,Side
"C1","10u","C_0805",58.928000,-128.778000,180.000000,top
"C2","10u","C_0805",109.982000,-127.889000,0.000000,top
"C3","10u","C_0805",109.500000,-105.550000,0.000000,top
"C4","10u","C_0805",107.700000,-116.150000,0.000000,top
"C5","2u2","C_0603",72.600000,-123.250000,-90.000000,top
"C6","2u2","C_0603",81.800000,-123.250000,-90.000000,top
"C7","2u2","C_0603",91.000000,-123.250000,-90.000000,top
"C8","2u2","C_0603",100.200000,-123.250000,-90.000000,top
"C9","2u2","C_0603",75.700000,-108.050000,90.000000,top
"C10","2u2","C_0603",69.500000,-110.400000,90.000000,top
"C11","2u2","C_0603",82.150000,-118.250000,0.000000,top
"C12","2u2","C_0603",89.150000,-118.250000,0.000000,top
"C13","2u2","C_0603",95.500000,-111.650000,-90.000000,top
"C14","2u2","C_0603",95.100000,-108.050000,90.000000,top
"C15","2u2","C_0603",89.650000,-98.850000,0.000000,top
"C16","2u2","C_0603",82.650000,-98.850000,0.000000,top
"C17","2u2","C_0603",54.150000,-99.350000,0.000000,top
"C18","2u2","C_0603",51.350000,-102.100000,90.000000,top
"C19","2u2","C_0603",51.350000,-106.900000,90.000000,top
"C20","2u2","C_0603",51.350000,-110.900000,90.000000,top
"C21","2u2","C_0603",54.150000,-123.950000,0.000000,top
"C22","2u2","C_0603",64.150000,-123.950000,0.000000,top
"C23","2u2","C_0603",66.950000,-110.800000,-90.000000,top
"C24","2u2","C_0603",66.950000,-106.000000,-90.000000,top
"C25","2u2","C_0603",64.150000,-99.350000,0.000000,top
"C26","10u","C_0805",59.150000,-124.250000,0.000000,top
"C27","2u2","C_0603",70.000000,-121.050000,180.000000,top
"C28","2u2","C_0603",109.150000,-120.500000,90.000000,top
"D1","Amber","LED_0805",71.300000,-102.650000,180.000000,top
"FID1","Fiducial","Fiducial",51.054000,-93.726000,0.000000,top
"FID2","Fiducial","Fiducial",100.330000,-93.726000,0.000000,top
"FID3","Fiducial","Fiducial",110.236000,-117.983000,0.000000,top
"FID4","Fiducial","Fiducial",51.054000,-129.540000,0.000000,top
"R1","22k","R_0805",96.300000,-101.700000,-45.000000,top
"R2","22k","R_0805",98.750000,-104.150000,135.000000,top
"R3","47","R_0603",96.750000,-115.850000,-90.000000,top
"R5","47","R_0603",70.450000,-107.950000,180.000000,top
"R6","47","R_0603",73.250000,-107.950000,0.000000,top
"R7","220","R_0805",71.300000,-104.600000,0.000000,top
"U1","EPM240T100","TQFP-100_14x14mm_P0.5mm",85.400000,-108.550000,-90.000000,top
"U2","W9812G6KH-6","TSOP-II-54_22.2x10.16mm_P0.8mm",59.150000,-111.650000,-90.000000,top
"U3","60M","Crystal_SMD_7050-4Pin_7.0x5.0mm_SiTime",72.100000,-115.300000,0.000000,top
"U4","74AHCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",77.025000,-125.450000,0.000000,top
"U5","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",86.225000,-125.450000,0.000000,top
"U6","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",95.425000,-125.450000,0.000000,top
"U7","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",104.625000,-125.450000,0.000000,top
"U8","AZ1117CH-3.3TRG1","SOT-223",105.387000,-111.150000,0.000000,top
"U9","74LVC1G04GW","SOT-353",69.900000,-123.150000,-90.000000,top
"U10","74LVC1G04GW","SOT-353",72.100000,-110.500000,90.000000,top
"U11","AP2127K-1.8TRG1","SOT-23-5",110.100000,-124.250000,0.000000,top
