Ref,Val,Package,MidX,MidY,Rot,Side
"C1","10u","C_0805",58.928000,-128.778000,180.000000,top
"C2","10u","C_0805",109.982000,-127.889000,0.000000,top
"C3","10u","C_0805",109.500000,-105.550000,0.000000,top
"C4","10u","C_0805",107.700000,-116.150000,0.000000,top
"C5","2u2","C_0603",72.600000,-123.250000,270.000000,top
"C6","2u2","C_0603",81.800000,-123.250000,270.000000,top
"C7","2u2","C_0603",91.000000,-123.250000,270.000000,top
"C8","2u2","C_0603",100.200000,-123.250000,270.000000,top
"C9","2u2","C_0603",75.700000,-109.800000,270.000000,top
"C10","2u2","C_0603",69.500000,-110.400000,90.000000,top
"C11","2u2","C_0603",86.150000,-98.850000,0.000000,top
"C12","2u2","C_0603",82.650000,-98.850000,180.000000,top
"C13","2u2","C_0603",82.150000,-118.250000,0.000000,top
"C14","2u2","C_0603",75.650000,-106.850000,90.000000,top
"C15","2u2","C_0603",95.100000,-108.800000,90.000000,top
"C16","2u2","C_0603",90.650000,-118.250000,180.000000,top
"C17","2u2","C_0603",54.150000,-99.350000,0.000000,top
"C18","2u2","C_0603",51.350000,-102.100000,90.000000,top
"C19","2u2","C_0603",51.350000,-106.900000,90.000000,top
"C20","2u2","C_0603",51.350000,-110.900000,90.000000,top
"C21","2u2","C_0603",54.150000,-123.950000,0.000000,top
"C22","2u2","C_0603",64.150000,-123.950000,0.000000,top
"C23","2u2","C_0603",66.950000,-110.800000,270.000000,top
"C24","2u2","C_0603",66.950000,-106.000000,270.000000,top
"C25","2u2","C_0603",64.150000,-99.350000,0.000000,top
"C26","10u","C_0805",66.100000,-126.950000,180.000000,top
"C27","2u2","C_0603",70.000000,-121.050000,180.000000,top
"C28","2u2","C_0603",109.150000,-120.500000,90.000000,top
"C29","2u2","C_0603",95.100000,-111.800000,270.000000,top
"C30","2u2","C_0603",93.700000,-98.850000,180.000000,top
"C31","2u2","C_0603",90.150000,-98.850000,180.000000,top
"C32","2u2","C_0603",85.650000,-118.250000,0.000000,top
"C33","2u2","C_0603",60.600000,-123.950000,180.000000,top
"C34","2u2","C_0603",71.400000,-99.350000,180.000000,top
"FID1","Fiducial","Fiducial",51.054000,-93.726000,0.000000,top
"FID2","Fiducial","Fiducial",100.330000,-93.726000,0.000000,top
"FID3","Fiducial","Fiducial",110.236000,-117.983000,0.000000,top
"FID4","Fiducial","Fiducial",58.801000,-125.857000,0.000000,top
"R3","100","R_0805",71.700000,-125.650000,0.000000,top
"R5","DNP","R_0805",47.700000,-126.050000,270.000000,top
"RN1","4x33","R4_0402",71.900000,-107.900000,0.000000,top
"RN2","4x33","R4_0402",70.350000,-102.300000,270.000000,top
"RN3","4x33","R4_0402",70.350000,-104.900000,270.000000,top
"RN4","4x33","R4_0402",103.950000,-120.150000,0.000000,top
"RN5","4x33","R4_0402",106.600000,-120.150000,0.000000,top
"RN6","4x10k","R4_0402",49.300000,-123.000000,0.000000,top
"RN7","4x10k","R4_0402",97.200000,-103.100000,135.000000,top
"U1","iCE40HX1K-VQ100","TQFP-100_14x14mm_P0.5mm",85.400000,-108.550000,270.000000,top
"U2","W9812G6KH-6","TSOP-II-54_22.2x10.16mm_P0.8mm",59.150000,-111.650000,0.000000,top
"U3","60M","Crystal_SMD_7050-4Pin_7.0x5.0mm_SiTime",72.100000,-115.300000,0.000000,top
"U4","74AHCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",77.025000,-125.450000,0.000000,top
"U5","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",86.225000,-125.450000,0.000000,top
"U6","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",95.425000,-125.450000,0.000000,top
"U7","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",104.625000,-125.450000,0.000000,top
"U8","AZ1117CH-3.3TRG1","SOT-223",105.387000,-111.150000,0.000000,top
"U9","74LVC1G04GW","SOT-353",69.900000,-123.150000,180.000000,top
"U10","74LVC1G04GW","SOT-353",72.100000,-110.500000,0.000000,top
"U11","AP2127K-1.2TRG1","SOT-23-5",110.100000,-124.250000,270.000000,top
"U12","25F010","SOIC-8_3.9mm",53.086000,-127.635000,270.000000,top
"U13","AP2127K-2.5TRG1","SOT-23-5",62.550000,-127.800000,270.000000,top
